                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.83224,                0.49906,                 1.1505,                0.90756,                0.87263,                0.92135,                0.55408,                 1.4521,                0.72688,                 1.7152,              0.0003566,              0.0003566,              0.0003566
                     85,                0.81548,                0.50346,                 1.1474,                0.92185,                0.88889,                0.93242,                0.54729,                 1.4765,                0.73027,                 1.7181,              0.0003368,              0.0003368,              0.0003368
                     86,                0.81398,                0.49779,                 1.1433,                0.88857,                0.88076,                0.91742,                0.56282,                 1.4135,                   0.72,                   1.68,               0.000317,               0.000317,               0.000317
                     87,                0.82644,                 0.5002,                 1.1673,                0.92614,                0.86992,                0.92764,                0.56331,                 1.4396,                0.70445,                 1.6912,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.8227,                0.48788,                 1.1545,                0.90382,                 0.8916,                0.92841,                0.56786,                 1.4277,                0.71794,                 1.6882,              0.0002774,              0.0002774,              0.0002774
                     89,                0.80826,                0.49226,                 1.1452,                0.89907,                0.85908,                0.90407,                0.55257,                 1.4596,                0.73662,                 1.7302,              0.0002576,              0.0002576,              0.0002576
                     90,                0.81158,                0.49694,                 1.1467,                0.94686,                0.86916,                0.92898,                0.56872,                 1.4291,                0.69451,                 1.6742,              0.0002378,              0.0002378,              0.0002378
                     91,                0.67747,                0.39132,                 1.1051,                0.86521,                0.88719,                0.89113,                0.52927,                 1.4995,                0.73617,                 1.7711,               0.000218,               0.000218,               0.000218
                     92,                0.66435,                0.36344,                 1.1035,                0.89479,                0.88347,                  0.919,                0.54896,                 1.4871,                0.71788,                 1.7692,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.6377,                0.35054,                 1.0906,                 0.9128,                0.89431,                0.92832,                0.55052,                 1.4987,                0.68168,                 1.7583,              0.0001784,              0.0001784,              0.0001784
                     94,                0.62417,                0.34012,                 1.0759,                0.89991,                0.87534,                0.91746,                0.55522,                 1.4694,                0.72713,                 1.7578,              0.0001586,              0.0001586,              0.0001586
                     95,                0.62397,                0.33305,                 1.0741,                0.91543,                0.87534,                0.92236,                0.56474,                 1.4473,                0.70943,                 1.7303,              0.0001388,              0.0001388,              0.0001388
                     96,                0.61338,                0.32802,                 1.0605,                0.92102,                0.88493,                0.93046,                0.56282,                 1.4599,                0.70024,                 1.7384,               0.000119,               0.000119,               0.000119
                     97,                0.60642,                0.33667,                 1.0625,                0.92513,                0.87805,                0.93265,                0.55823,                 1.5034,                0.69372,                 1.7953,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.58746,                0.31809,                 1.0595,                0.92995,                0.85637,                0.92261,                0.56307,                 1.4725,                 0.7047,                 1.7528,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.6141,                0.33385,                 1.0692,                 0.9329,                 0.8645,                 0.9233,                0.55861,                 1.4635,                 0.6925,                  1.743,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.58668,                0.31783,                 1.0507,                0.93827,                0.86992,                 0.9231,                0.55861,                 1.4658,                0.69836,                 1.7514,               3.98e-05,               3.98e-05,               3.98e-05
